code,description
EDU_audd_3114,"Manufacturing Technology, cand.polyt."
EDU_audd_3115,"Elektroteknologi, cand.polyt."
EDU_audd_3116,"Elektroteknologi, ing.bach."
EDU_audd_3117,"Electro-Mechanical System Design, cand.polyt."
EDU_audd_3118,"Design of Mechanical Systems, cand.polyt."
EDU_audd_3119,"Engineering Design and Applied Mechanics, cand.polyt."
EDU_audd_3120,"Food Innovation and Health, cand.scient."
EDU_audd_3121,"Produkt- og designpsykologi, ing.bach."
EDU_audd_3122,"Produktion og konstruktion, ing.bach."
EDU_audd_3123,"Produktion, cand.scient.tech."
EDU_audd_3124,"By-, energi- og miljøplanlægning, ing.bach."
EDU_audd_3125,"Urban Energy and Environmental Planning, cand.polyt."
EDU_audd_3126,"Surveying Planning and Land Management,cand.scient.tech."
EDU_audd_3127,"Energy Engineering, cand.polyt."
EDU_audd_3128,"Vindenergi, cand.scient.tech."
EDU_audd_3129,"Køleteknik,cand.polyt."
EDU_audd_3130,"Miljø- og arbejdsmiljøledelse, master"
EDU_audd_3131,"Environmental Studies, civilingeniør 2år"
EDU_audd_3132,"Food Technology, cand.polyt."
EDU_audd_3133,"Fødevarevidenskab, cand.scient.tech."
EDU_audd_3134,"Molecular Nutrition and Food Technology, cand.scient."
EDU_audd_3135,"Amu.trp, lager, terminal og logistik"
EDU_audd_3136,"Klinisk farmaci, cand.pharm."
EDU_audd_3137,"Pharmaceutical Sciences, cand.scient."
EDU_audd_3138,"Farmaceutisk kemi, cand.scient."
EDU_audd_3139,"Kemi, cand.scient."
EDU_audd_3140,"Applied Chemistry, cand.polyt."
EDU_audd_3141,"Biomedical Engineering, cand.polyt."
EDU_audd_3142,"Teknisk geologi, cand.scient.tech."
EDU_audd_3143,"Didaktik, dansk, cand.pæd."
EDU_audd_3144,"Didaktik, matematik, cand.pæd."
EDU_audd_3145,"Didaktik, materiel kultur, cand.pæd."
EDU_audd_3146,"Didaktik, musikpædagogik, cand.pæd."
EDU_audd_3147,"Moderne kultur, cand.mag."
EDU_audd_3148,"Æstetik og kultur, bach."
EDU_audd_3149,"Kognitiv semiotik, cand.mag."
EDU_audd_3150,"Journalism, Media and Globalisation, cand.mag."
EDU_audd_3151,"Information Studies, cand.mag."
EDU_audd_3152,"Informationsvidenskab og kulturformidling, master"
EDU_audd_3153,"Veterinary public health,master"
EDU_audd_3154,"Art and technology, bach."
